,2016,0.00
08121,2016,52.17
08123,2016,62.31
08125,2016,39.29
09001,2016,38.27
09003,2016,44.79
09005,2016,56.44
09007,2016,52.71
09009,2016,46.30
09011,2016,54.52
09013,2016,59.90
09015,2016,59.57
10001,2016,39.89
10003,2016,39.71
10005,2016,36.38
11001,2016,20.83
12,2016,33.27
12001,2016,48.96
12003,2016,47.38
12005,2016,41.67
12007,2016,41.82
12009,2016,37.67
12011,2016,26.48
12013,2016,45.15
12015,2016,35.44
12017,2016,39.21
12019,2016,39.49
12021,2016,31.88
12023,2016,38.51
12027,2016,38.70
12029,2016,45.09
12031,2016,30.70
12033,2016,34.62
12035,2016,31.85
12037,2016,45.66
12039,2016,19.95
12041,2016,50.70
12043,2016,40.34
12045,2016,43.37
12047,2016,34.58
12049,2016,39.10
12051,2016,33.91
12053,2016,36.99
12055,2016,34.01
12057,2016,35.07
12059,2016,51.71
12061,2016,35.53
12063,2016,35.44
12065,2016,29.48
12067,2016,51.64
12069,2016,33.79
12071,2016,35.07
12073,2016,41.12
12075,2016,43.17
12077,2016,47.12
12079,2016,29.97
12081,2016,35.10
12083,2016,34.06
12085,2016,37.64
12086,2016,24.26
12087,2016,42.79
12089,2016,39.81
12091,2016,43.15
12093,2016,37.69
12095,2016,35.09
12097,2016,30.04
12099,2016,27.21
12101,2016,38.85
12103,2016,37.65
12105,2016,33.28
12107,2016,42.65
12109,2016,40.68
12111,2016,30.85
12113,2016,45.09
12115,2016,37.28
12117,2016,39.89
12119,2016,29.29
12121,2016,44.30
12123,2016,42.31
12125,2016,51.58
12127,2016,37.06
12129,2016,42.03
12131,2016,44.97
12133,2016,42.89
13,2016,28.20
13001,2016,22.00
13003,2016,19.44
13005,2016,32.77
13007,2016,13.45
13009,2016,19.97
13011,2016,48.15
13013,2016,37.21
13015,2016,39.73
13017,2016,18.50
13019,2016,29.92
13021,2016,16.85
13023,2016,20.59
13025,2016,44.48
13027,2016,21.24
13029,2016,35.53
13031,2016,38.84
13033,2016,9.97
13035,2016,16.93
