AK,2009,7.00
AL,2009,3.00
AR,2009,0.00
AZ,2009,7.00
CA,2009,117.00
CO,2009,1.00
CT,2009,4156.00
DC,2009,61.00
DE,2009,984.00
FL,2009,110.00
GA,2009,40.00
IA,2009,108.00
ID,2009,16.00
IL,2009,136.00
IN,2009,83.00
KS,2009,18.00
KY,2009,1.00
LA,2009,0.00
MA,2009,5256.00
MD,2009,2024.00
ME,2009,970.00
MI,2009,103.00
MN,2009,1543.00
MO,2009,3.00
MS,2009,0.00
MT,2009,3.00
NC,2009,96.00
ND,2009,15.00
NE,2009,5.00
NH,2009,1415.00
NJ,2009,4973.00
NM,2009,5.00
NV,2009,13.00
NY,2009,5651.00
OH,2009,58.00
OK,2009,2.00
OR,2009,38.00
PA,2009,5722.00
RI,2009,235.00
SC,2009,42.00
SD,2009,1.00
TN,2009,37.00
TX,2009,276.00
UT,2009,9.00
VA,2009,908.00
VT,2009,408.00
WA,2009,16.00
WI,2009,2589.00
WV,2009,201.00
WY,2009,3.00
