,2016,0.00
12095,2016,18.76
12097,2016,18.98
12099,2016,12.09
12101,2016,18.85
12103,2016,16.70
12105,2016,21.04
12107,2016,18.69
12109,2016,15.50
12111,2016,12.52
12113,2016,21.64
12115,2016,13.81
12117,2016,19.29
12119,2016,13.42
12121,2016,28.73
12123,2016,24.55
12125,2016,26.91
12127,2016,15.48
12129,2016,34.10
12131,2016,19.84
12133,2016,32.53
13,2016,23.60
13001,2016,29.36
13003,2016,19.37
13005,2016,20.30
13007,2016,20.00
13009,2016,19.51
13011,2016,28.38
13013,2016,30.39
13015,2016,25.13
13017,2016,17.28
13019,2016,25.35
13021,2016,22.14
13023,2016,24.91
13025,2016,25.35
13027,2016,24.35
13029,2016,26.09
13031,2016,26.04
13033,2016,30.68
13035,2016,25.94
13037,2016,23.44
13039,2016,18.66
13043,2016,17.55
13045,2016,27.76
13047,2016,22.82
13049,2016,25.04
13051,2016,23.00
13053,2016,27.73
13055,2016,19.61
13057,2016,25.63
13059,2016,20.61
13061,2016,18.50
13063,2016,23.93
13065,2016,20.20
13067,2016,21.17
13069,2016,19.38
13071,2016,23.40
13073,2016,30.38
13075,2016,23.09
13077,2016,25.46
13079,2016,22.05
13081,2016,22.22
13083,2016,19.86
13085,2016,25.15
13087,2016,22.24
13089,2016,15.37
13091,2016,18.69
13093,2016,18.99
13095,2016,21.25
13097,2016,25.07
13099,2016,16.62
13101,2016,23.91
13103,2016,33.33
13105,2016,23.59
13107,2016,23.35
13109,2016,25.95
13111,2016,20.23
13113,2016,23.57
13115,2016,20.32
13117,2016,23.60
13119,2016,25.22
13121,2016,14.55
13123,2016,20.60
13125,2016,18.67
13127,2016,20.32
13129,2016,18.69
13131,2016,25.15
13133,2016,16.88
13135,2016,25.69
13137,2016,26.54
13139,2016,27.83
13141,2016,14.66
13143,2016,25.60
13145,2016,28.21
13147,2016,22.93
13149,2016,21.49
13151,2016,29.06
13153,2016,26.78
13155,2016,19.28
13157,2016,27.78
13159,2016,28.09
13161,2016,23.66
13163,2016,28.44
13165,2016,22.68
13167,2016,21.02
13169,2016,21.60
13171,2016,23.64
13173,2016,21.74
13175,2016,22.42
13177,2016,23.91
13179,2016,22.15
13181,2016,30.69
13183,2016,21.61
13185,2016,26.68
13187,2016,27.88
13189,2016,33.02
13191,2016,18.66
13193,2016,19.66
13195,2016,28.55
13197,2016,25.85
13199,2016,23.84
13201,2016,16.50
13205,2016,19.35
13207,2016,26.29
13209,2016,23.51
13211,2016,27.73
13213,2016,19.08
13215,2016,26.97
13217,2016,27.29
13219,2016,25.72
13221,2016,27.26
13223,2016,28.08
13225,2016,26.08
13227,2016,22.47
13229,2016,31.20
13231,2016,27.10
13233,2016,18.05
13235,2016,17.70
13237,2016,18.49
13239,2016,13.49
13241,2016,18.96
13243,2016,17.69
13245,2016,28.54
13247,2016,25.28
13249,2016,28.85
13251,2016,21.82
13253,2016,18.75
13255,2016,24.45
13257,2016,21.21
13259,2016,22.31
13261,2016,22.92
13263,2016,23.55
13265,2016,24.37
13267,2016,28.38
13269,2016,19.17
13271,2016,17.45
13273,2016,21.45
13275,2016,23.51
13277,2016,22.73
13279,2016,23.75
13281,2016,19.94
13283,2016,22.93
13285,2016,23.40
13287,2016,21.53
13289,2016,24.65
13291,2016,23.93
13293,2016,20.37
13295,2016,21.07
13297,2016,30.91
13299,2016,30.55
13301,2016,28.84
13303,2016,21.11
13305,2016,26.06
13307,2016,23.04
13309,2016,20.53
13311,2016,25.20
13313,2016,17.99
13315,2016,26.74
13317,2016,21.97
13319,2016,25.93
13321,2016,24.31
15,2016,32.74
15001,2016,28.48
15003,2016,33.52
15007,2016,35.07
15009,2016,27.66
16,2016,45.43
16001,2016,40.28
16003,2016,35.22
16005,2016,49.54
16007,2016,42.67
16009,2016,51.42
16011,2016,49.71
16013,2016,23.67
16015,2016,33.61
16017,2016,45.71
16019,2016,46.14
16021,2016,45.28
16023,2016,47.91
16025,2016,24.12
16027,2016,47.40
16029,2016,44.46
16031,2016,47.04
16033,2016,35.23
16035,2016,34.07
16037,2016,28.11
16039,2016,31.65
16041,2016,50.54
16043,2016,51.83
16045,2016,43.21
16047,2016,44.37
16049,2016,37.07
16051,2016,55.22
16053,2016,48.50
16055,2016,53.19
16057,2016,54.01
16059,2016,30.20
16061,2016,37.09
16063,2016,41.15
16065,2016,57.43
16067,2016,46.46
16069,2016,40.10
16071,2016,59.87
16073,2016,42.93
16075,2016,40.56
16077,2016,47.95
16079,2016,38.78
16081,2016,45.19
16083,2016,48.99
16085,2016,32.10
16087,2016,37.99
17,2016,30.33
17001,2016,38.11
17003,2016,39.22
17005,2016,38.65
17007,2016,33.58
17009,2016,30.64
17011,2016,30.69
17013,2016,36.38
17015,2016,29.29
17017,2016,35.09
17019,2016,36.76
17021,2016,36.26
17023,2016,33.72
17025,2016,36.66
17027,2016,37.07
17029,2016,35.63
17031,2016,22.34
17033,2016,34.17
17035,2016,40.37
17037,2016,30.93
17039,2016,38.52
17041,2016,42.98
17043,2016,24.78
17045,2016,32.13
17047,2016,32.59
17049,2016,43.36
17051,2016,36.52
17053,2016,37.79
17055,2016,32.87
17057,2016,36.87
17059,2016,31.98
17061,2016,37.25
17063,2016,27.32
17065,2016,36.54
17067,2016,35.14
17069,2016,33.94
17071,2016,33.11
17073,2016,32.54
17075,2016,33.32
17077,2016,35.40
17079,2016,42.41
17081,2016,35.98
17083,2016,36.20
17085,2016,27.62
17087,2016,38.84
17089,2016,28.00
17091,2016,31.01
17093,2016,29.47
17095,2016,34.65
17097,2016,24.32
17099,2016,28.97
17101,2016,28.36
17103,2016,34.12
17105,2016,37.89
17107,2016,38.83
17109,2016,33.20
17111,2016,25.97
17113,2016,41.64
17115,2016,39.80
17117,2016,33.97
17119,2016,36.66
17121,2016,36.06
17123,2016,39.28
17125,2016,36.26
17127,2016,39.88
17129,2016,37.88
17131,2016,39.92
17133,2016,34.58
17135,2016,35.07
17137,2016,32.43
17139,2016,48.81
17141,2016,38.62
17143,2016,40.58
17145,2016,35.94
17147,2016,39.88
17149,2016,34.26
17151,2016,35.93
17153,2016,36.11
17155,2016,28.64
17157,2016,37.59
17159,2016,28.42
17161,2016,35.64
17163,2016,36.93
17165,2016,34.20
17167,2016,34.80
17169,2016,31.00
17171,2016,33.48
17173,2016,42.60
17175,2016,38.29
17177,2016,35.73
17179,2016,44.56
17181,2016,39.41
17183,2016,33.12
17185,2016,33.48
17187,2016,32.25
17189,2016,37.45
17191,2016,30.91
17193,2016,28.62
17195,2016,34.71
17197,2016,25.81
17199,2016,36.87
17201,2016,40.52
17203,2016,48.19
18001,2016,56.09
18003,2016,45.48
18005,2016,38.78
18007,2016,33.49
18009,2016,40.65
18011,2016,40.53
18013,2016,35.69
18015,2016,37.77
18017,2016,34.09
18019,2016,32.81
18021,2016,31.06
18023,2016,39.87
18025,2016,32.83
18027,2016,29.93
18029,2016,23.14
18031,2016,35.35
18033,2016,42.49
18035,2016,36.97
18037,2016,30.86
18039,2016,47.71
18041,2016,25.46
18043,2016,33.58
18045,2016,29.17
18047,2016,24.38
18049,2016,32.63
18051,2016,32.12
18053,2016,44.36
18055,2016,28.35
18057,2016,38.77
18059,2016,37.06
18061,2016,33.50
18063,2016,39.99
18065,2016,34.37
18067,2016,37.95
18069,2016,42.64
18071,2016,29.91
18073,2016,31.45
18075,2016,36.07
18077,2016,30.59
18079,2016,28.27
18081,2016,37.07
18083,2016,26.15
18085,2016,42.67
18087,2016,43.39
18089,2016,27.15
18091,2016,29.20
18093,2016,31.52
18095,2016,36.02
18097,2016,38.97
18099,2016,39.44
18101,2016,32.67
18103,2016,38.98
18105,2016,37.06
18107,2016,35.34
18109,2016,33.66
18111,2016,25.58
18113,2016,41.34
18115,2016,24.94
18117,2016,28.75
18119,2016,29.21
18121,2016,29.25
18123,2016,24.39
18125,2016,30.91
18127,2016,26.98
18129,2016,32.08
18131,2016,34.51
18133,2016,37.53
18135,2016,34.80
18137,2016,24.18
18139,2016,34.67
18141,2016,40.61
18143,2016,29.24
18145,2016,35.80
18147,2016,33.33
18149,2016,28.97
18151,2016,34.30
18153,2016,27.10
18155,2016,20.26
18157,2016,40.94
18159,2016,37.91
18161,2016,24.73
18163,2016,34.96
18165,2016,24.06
18167,2016,28.50
18169,2016,39.20
18171,2016,28.00
18173,2016,35.19
18175,2016,30.40
18177,2016,28.46
18179,2016,53.89
18181,2016,32.93
18183,2016,45.97
19,2016,27.64
19001,2016,25.55
19003,2016,29.67
19005,2016,26.68
19007,2016,32.02
19009,2016,36.10
19011,2016,36.45
19013,2016,26.82
19015,2016,32.20
19017,2016,27.38
19019,2016,36.80
19021,2016,30.62
19023,2016,36.48
19025,2016,28.55
19027,2016,24.95
19029,2016,24.35
19031,2016,28.97
19033,2016,28.17
19035,2016,18.71
19037,2016,26.79
19039,2016,27.83
19041,2016,26.87
19043,2016,35.22
19045,2016,26.93
19047,2016,32.33
19049,2016,23.22
19051,2016,31.64
19053,2016,34.81
19055,2016,35.46
19057,2016,28.27
19059,2016,21.63
19061,2016,20.70
19063,2016,35.48
19065,2016,34.10
19067,2016,40.13
19069,2016,35.83
19071,2016,20.42
19073,2016,29.67
19075,2016,28.75
19077,2016,28.91
19079,2016,28.94
19081,2016,45.35
19083,2016,32.83
19085,2016,27.67
19087,2016,31.27
19089,2016,28.88
19091,2016,27.77
19093,2016,25.62
19095,2016,34.17
19097,2016,28.49
19099,2016,34.94
19101,2016,31.69
19103,2016,19.55
19105,2016,35.11
19107,2016,30.77
19109,2016,30.10
19111,2016,25.30
19113,2016,29.42
19115,2016,35.50
19117,2016,36.16
19119,2016,39.02
19121,2016,33.51
