,2014,0.00
05121,2014,51.38
05121,08/2014,51.37
05123,2014,36.24
05123,08/2014,36.27
05125,2014,65.00
05125,08/2014,65.00
05127,2014,61.92
05127,08/2014,61.92
05129,2014,70.95
05129,08/2014,70.95
05131,2014,65.51
05131,08/2014,65.53
05133,2014,53.69
05133,08/2014,53.69
05135,2014,59.78
05135,08/2014,59.77
05137,2014,62.17
05137,08/2014,62.17
05139,2014,53.33
05139,08/2014,53.33
05141,2014,60.38
05141,08/2014,60.36
05143,2014,55.25
05143,08/2014,55.25
05145,2014,68.62
05145,08/2014,68.62
05147,2014,35.27
05147,08/2014,35.27
05149,2014,57.13
05149,08/2014,57.11
06,2014,40.03
06001,2014,17.83
06001,08/2014,19.13
06003,2014,38.13
06003,08/2014,38.13
06005,2014,55.45
06005,08/2014,55.77
06007,2014,52.21
06007,08/2014,52.76
06009,2014,56.27
06009,08/2014,56.10
06011,2014,57.27
06011,08/2014,57.93
06013,2014,31.35
06013,08/2014,32.58
06015,2014,50.36
06015,08/2014,50.60
06017,2014,54.50
06017,08/2014,54.44
06019,2014,52.38
06019,08/2014,53.43
06021,2014,65.60
06021,08/2014,65.94
06023,2014,35.39
06023,08/2014,36.41
06025,2014,35.74
06025,08/2014,36.05
06027,2014,57.32
06027,08/2014,56.86
06029,2014,59.10
06029,08/2014,60.07
06031,2014,60.80
06031,08/2014,61.09
06033,2014,38.72
06033,08/2014,39.34
06035,2014,67.56
06035,08/2014,67.23
06037,2014,33.16
06037,08/2014,33.72
06039,2014,62.78
06039,08/2014,62.64
06041,2014,20.65
06041,08/2014,21.99
06043,2014,61.77
06043,08/2014,62.03
06045,2014,28.24
06045,08/2014,30.02
06047,2014,49.87
06047,08/2014,50.15
06049,2014,72.80
06049,08/2014,72.64
06051,2014,46.91
06051,08/2014,47.06
06053,2014,30.57
06053,08/2014,31.53
06055,2014,31.81
06055,08/2014,32.66
06057,2014,45.37
06057,08/2014,47.40
06059,2014,55.57
06059,08/2014,56.31
06061,2014,54.59
06061,08/2014,54.47
06063,2014,58.25
06063,08/2014,58.25
06065,2014,52.91
06065,08/2014,53.57
06067,2014,37.67
06067,08/2014,38.92
06069,2014,36.48
06069,08/2014,37.51
06071,2014,53.14
06071,08/2014,53.51
06073,2014,48.93
06073,08/2014,50.02
06075,2014,11.85
06075,08/2014,12.47
06077,2014,46.46
06077,08/2014,46.93
06079,2014,45.68
06079,08/2014,45.40
06081,2014,24.78
06081,08/2014,25.84
06083,2014,41.74
06083,08/2014,42.64
06085,2014,27.06
06085,08/2014,28.12
06087,2014,21.39
06087,08/2014,22.13
06089,2014,61.94
06089,08/2014,61.86
06091,2014,55.79
06091,08/2014,55.79
06093,2014,55.84
06093,08/2014,56.17
06095,2014,35.43
06095,08/2014,36.09
06097,2014,25.25
06097,08/2014,25.82
06099,2014,48.46
06099,08/2014,49.18
06101,2014,57.27
06101,08/2014,57.89
06103,2014,64.79
06103,08/2014,64.61
06105,2014,55.83
06105,08/2014,56.70
06107,2014,61.58
06107,08/2014,61.65
06109,2014,53.25
06109,08/2014,52.60
06111,2014,46.93
06111,08/2014,47.87
06113,2014,30.88
06113,08/2014,31.00
06115,2014,58.38
06115,08/2014,58.36
08,2014,45.95
08001,2014,44.42
08001,08/2014,45.76
08003,2014,43.31
08003,08/2014,43.21
08005,2014,43.94
08005,08/2014,45.05
08007,2014,55.50
08007,08/2014,55.51
08009,2014,72.56
08009,08/2014,72.55
08011,2014,59.30
08011,08/2014,59.33
08013,2014,26.01
08013,08/2014,27.50
08014,2014,44.33
08014,08/2014,44.37
08015,2014,48.20
08015,08/2014,48.26
08017,2014,78.50
08017,08/2014,78.20
08019,2014,42.01
08019,08/2014,42.08
08021,2014,46.98
08021,08/2014,47.04
08023,2014,28.26
08023,08/2014,28.34
08025,2014,66.12
08025,08/2014,66.09
08027,2014,65.66
08027,08/2014,65.67
08029,2014,65.38
08029,08/2014,65.41
08031,2014,21.66
08031,08/2014,22.07
08033,2014,65.40
08033,08/2014,65.22
08035,2014,59.13
08035,08/2014,59.19
08037,2014,37.05
08037,08/2014,37.10
08039,2014,72.82
08039,08/2014,72.91
08041,2014,61.06
08041,08/2014,61.07
08043,2014,64.60
08043,08/2014,64.64
08045,2014,49.47
08045,08/2014,49.50
08047,2014,41.35
08047,08/2014,41.43
08049,2014,51.54
08049,08/2014,51.69
08051,2014,36.94
08051,08/2014,38.86
08053,2014,56.95
08053,08/2014,56.95
08055,2014,45.26
08055,08/2014,45.22
08057,2014,75.46
08057,08/2014,75.46
08059,2014,44.61
08059,08/2014,45.09
08061,2014,79.79
08061,08/2014,79.79
08063,2014,75.14
08063,08/2014,75.13
08065,2014,36.51
08065,08/2014,36.48
08067,2014,42.39
08067,08/2014,42.48
08069,2014,44.91
08069,08/2014,44.92
08071,2014,48.71
08071,08/2014,48.75
08073,2014,75.46
08073,08/2014,75.48
08075,2014,69.96
08075,08/2014,69.97
08077,2014,60.86
08077,08/2014,60.81
08079,2014,48.68
08079,08/2014,48.68
08081,2014,77.71
08081,08/2014,77.72
08083,2014,58.72
08083,08/2014,59.39
08085,2014,65.67
08085,08/2014,65.65
08087,2014,66.15
08087,08/2014,66.14
08089,2014,55.47
08089,08/2014,55.49
08091,2014,42.98
08091,08/2014,42.92
08093,2014,57.41
08093,08/2014,57.46
08095,2014,72.32
08095,08/2014,72.32
08097,2014,24.41
08097,08/2014,24.41
08099,2014,68.53
08099,08/2014,68.48
08101,2014,44.82
08101,08/2014,44.92
08103,2014,79.78
08103,08/2014,79.88
08105,2014,54.40
08105,08/2014,54.58
08107,2014,38.22
08107,08/2014,38.30
08109,2014,36.04
08109,08/2014,36.44
08111,2014,39.42
08111,08/2014,39.42
08113,2014,25.32
08113,08/2014,25.35
08115,2014,66.67
08115,08/2014,66.67
08117,2014,32.18
08117,08/2014,32.28
08119,2014,65.15
08119,08/2014,65.21
08121,2014,81.32
08121,08/2014,81.25
08123,2014,58.21
08123,08/2014,58.67
08125,2014,78.82
08125,08/2014,78.83
09,2014,48.16
09001,2014,49.69
09001,08/2014,49.68
09003,2014,45.43
09003,08/2014,45.32
09005,2014,59.20
09005,08/2014,58.82
09007,2014,49.24
09007,08/2014,49.20
09009,2014,45.56
09009,08/2014,45.77
09011,2014,47.34
09011,08/2014,47.95
09013,2014,52.59
09013,08/2014,52.59
09015,2014,50.11
09015,08/2014,50.11
1,08/2014,36.37
12,2014,48.14
12,08/2014,47.01
12001,2014,39.79
12001,08/2014,39.82
12003,2014,70.54
12003,08/2014,70.54
12005,2014,71.79
12005,08/2014,71.81
12007,2014,64.67
12007,08/2014,64.69
12009,2014,52.59
12009,08/2014,52.59
12011,2014,29.52
12011,08/2014,29.62
12013,2014,63.91
12013,08/2014,63.91
12015,2014,52.50
12015,08/2014,52.50
12017,2014,53.68
12017,08/2014,53.71
12019,2014,72.40
12019,08/2014,72.39
12021,2014,66.31
12021,08/2014,66.31
12023,2014,63.15
12023,08/2014,63.16
12027,2014,49.00
12027,08/2014,49.02
12029,2014,62.41
12029,08/2014,62.40
