,2016,0.00
13179,2016,0.89
13181,2016,0.72
13183,2016,1.13
13185,2016,0.63
13187,2016,0.44
13189,2016,0.82
13191,2016,1.30
13193,2016,1.09
13195,2016,0.76
13197,2016,0.68
13199,2016,0.30
13201,2016,1.19
13205,2016,1.10
13207,2016,0.52
13209,2016,0.41
13211,2016,0.48
13213,2016,0.58
13215,2016,0.90
13217,2016,0.48
13219,2016,0.55
13221,2016,1.07
13223,2016,0.48
13225,2016,0.36
13227,2016,0.46
13229,2016,0.93
13231,2016,0.59
13233,2016,0.55
13235,2016,0.97
13237,2016,0.52
13239,2016,2.30
13241,2016,0.87
13243,2016,2.14
13245,2016,0.52
13247,2016,0.63
13249,2016,0.91
13251,2016,1.03
13253,2016,0.78
13255,2016,0.66
13257,2016,1.80
13259,2016,0.52
13261,2016,0.56
13263,2016,0.29
13265,2016,2.54
13267,2016,0.90
13269,2016,0.75
13271,2016,0.74
13273,2016,0.69
13275,2016,1.09
13277,2016,0.83
13279,2016,0.85
13281,2016,0.34
13283,2016,0.74
13285,2016,0.73
13287,2016,0.44
13289,2016,0.28
13291,2016,0.64
13293,2016,0.66
13295,2016,0.54
13297,2016,0.36
13299,2016,0.87
13301,2016,0.32
13303,2016,0.70
13305,2016,0.94
13307,2016,0.54
13309,2016,0.71
13311,2016,0.40
13313,2016,0.56
13315,2016,0.64
13317,2016,0.60
13319,2016,0.78
13321,2016,1.11
15,2016,0.16
15001,2016,0.22
15003,2016,0.17
15007,2016,0.10
16,2016,0.42
16001,2016,0.34
16003,2016,0.48
16005,2016,0.38
16007,2016,0.93
16009,2016,0.46
16011,2016,0.56
16013,2016,0.70
16015,2016,0.44
16017,2016,0.34
16019,2016,0.35
16021,2016,0.30
16023,2016,0.52
16025,2016,0.32
16027,2016,0.34
16029,2016,0.89
16031,2016,1.53
16035,2016,0.29
16037,2016,0.79
16039,2016,0.64
16041,2016,0.90
16043,2016,0.36
16045,2016,0.31
16047,2016,0.57
16049,2016,0.94
16051,2016,0.22
16053,2016,0.42
16055,2016,0.30
16057,2016,0.39
16059,2016,0.40
16061,2016,0.71
16063,2016,0.44
16065,2016,0.31
16067,2016,0.64
16069,2016,0.48
16071,2016,0.25
16073,2016,0.36
16075,2016,0.39
16077,2016,0.91
16079,2016,0.72
16081,2016,0.39
16083,2016,0.37
16085,2016,0.47
16087,2016,0.73
17,2016,0.76
17001,2016,0.85
17003,2016,1.12
17005,2016,0.67
17007,2016,0.87
17009,2016,1.21
17011,2016,1.50
17013,2016,0.44
17015,2016,1.92
17017,2016,1.51
17019,2016,0.91
17021,2016,0.59
17023,2016,1.62
17025,2016,1.08
17027,2016,0.73
17029,2016,1.27
17031,2016,0.68
17033,2016,1.21
17035,2016,1.71
17037,2016,0.89
17039,2016,1.37
17041,2016,1.51
17043,2016,0.61
17045,2016,1.67
17047,2016,1.50
17049,2016,0.63
17051,2016,0.80
17053,2016,1.24
17055,2016,0.65
17057,2016,0.98
17059,2016,0.71
17061,2016,1.06
17063,2016,0.96
17065,2016,0.67
17067,2016,0.66
17069,2016,0.85
17071,2016,0.66
17073,2016,0.94
17075,2016,1.44
17077,2016,0.82
17079,2016,0.96
17081,2016,0.78
17083,2016,0.55
17085,2016,1.08
17087,2016,1.36
17089,2016,0.54
17091,2016,0.93
17093,2016,0.69
17095,2016,1.21
17097,2016,0.61
17099,2016,1.02
17101,2016,1.39
17103,2016,1.55
17105,2016,2.12
17107,2016,1.56
17109,2016,1.14
17111,2016,0.68
17113,2016,0.90
17115,2016,0.50
17117,2016,0.81
17119,2016,0.57
17121,2016,0.89
17123,2016,1.47
17125,2016,1.29
17127,2016,0.46
17129,2016,1.14
17131,2016,0.78
17133,2016,0.79
17135,2016,1.01
17137,2016,1.63
17139,2016,0.88
17141,2016,1.09
17143,2016,0.62
17145,2016,1.26
17147,2016,1.01
17149,2016,1.02
17151,2016,0.69
17153,2016,0.91
17155,2016,1.53
17157,2016,0.63
17159,2016,1.08
17161,2016,0.85
17163,2016,0.59
17165,2016,0.64
17167,2016,1.15
17169,2016,1.08
17171,2016,1.15
17173,2016,0.74
17175,2016,0.94
17177,2016,1.24
17179,2016,0.60
17181,2016,0.55
17183,2016,1.25
17185,2016,1.04
17187,2016,1.70
17189,2016,0.68
17191,2016,1.56
17193,2016,1.50
17195,2016,1.14
17197,2016,0.53
17199,2016,0.47
17201,2016,0.62
17203,2016,0.74
18001,2016,0.51
18003,2016,0.44
18005,2016,0.87
18007,2016,0.98
18009,2016,0.66
18011,2016,0.61
18013,2016,0.75
18015,2016,0.67
18017,2016,0.85
18019,2016,0.52
18021,2016,0.82
18023,2016,1.10
18025,2016,1.14
18027,2016,0.89
18029,2016,0.28
18031,2016,0.70
18033,2016,0.62
18035,2016,0.68
18037,2016,0.56
18039,2016,0.57
18041,2016,0.68
18043,2016,0.55
18045,2016,0.99
18047,2016,0.33
18049,2016,0.68
18051,2016,0.60
18053,2016,0.76
18055,2016,0.76
18057,2016,0.52
18059,2016,0.50
18061,2016,0.71
18063,2016,0.52
18065,2016,0.68
18067,2016,0.66
18069,2016,0.73
18071,2016,0.95
18073,2016,0.95
18075,2016,0.98
18077,2016,0.79
18079,2016,0.73
18081,2016,0.49
18083,2016,0.68
18085,2016,0.63
18087,2016,0.71
18089,2016,0.29
18091,2016,0.51
18093,2016,0.80
18095,2016,0.64
18097,2016,0.54
18099,2016,0.80
18101,2016,0.75
18103,2016,0.70
18105,2016,0.66
18107,2016,0.67
18109,2016,0.58
18111,2016,0.88
18113,2016,0.79
18115,2016,0.33
18117,2016,1.43
18119,2016,0.62
18121,2016,0.86
18123,2016,1.01
18125,2016,0.41
18127,2016,0.50
18129,2016,0.44
18131,2016,1.42
18133,2016,0.56
18135,2016,0.89
18137,2016,0.40
18139,2016,0.90
18141,2016,0.32
18143,2016,0.17
18145,2016,0.89
18147,2016,0.58
18149,2016,0.46
18151,2016,0.74
18153,2016,0.43
18155,2016,0.54
18157,2016,0.63
18159,2016,1.00
18161,2016,0.54
18163,2016,0.46
18165,2016,0.56
18167,2016,0.45
18169,2016,0.67
18171,2016,0.86
18173,2016,0.45
18175,2016,0.77
18177,2016,0.69
18179,2016,0.55
18181,2016,0.79
18183,2016,0.49
19,2016,2.80
19001,2016,0.98
19003,2016,2.56
19005,2016,1.60
19007,2016,1.55
19009,2016,2.67
19011,2016,0.67
19013,2016,3.01
19015,2016,1.76
19017,2016,2.55
19019,2016,1.67
19021,2016,2.28
19023,2016,2.64
19025,2016,1.80
19027,2016,5.85
19029,2016,3.68
19031,2016,1.59
19033,2016,5.12
19035,2016,1.91
19037,2016,1.83
19039,2016,2.15
19041,2016,1.48
19043,2016,3.07
19045,2016,4.60
19047,2016,1.72
19049,2016,2.93
19051,2016,1.88
19053,2016,1.01
19055,2016,2.13
19057,2016,0.88
19059,2016,3.83
19061,2016,2.39
19063,2016,2.73
19065,2016,1.80
19067,2016,3.03
19069,2016,2.87
19071,2016,2.35
19073,2016,4.58
19075,2016,2.75
19077,2016,2.12
19079,2016,1.36
19081,2016,2.59
19083,2016,1.50
19085,2016,0.49
19087,2016,2.56
19089,2016,5.18
19091,2016,2.31
19093,2016,1.52
19095,2016,1.06
19097,2016,2.80
19099,2016,1.98
19101,2016,2.00
19103,2016,3.17
19105,2016,2.42
19107,2016,1.85
19109,2016,1.37
19111,2016,1.44
19113,2016,2.25
19115,2016,1.93
19117,2016,1.70
19119,2016,0.99
19121,2016,1.63
19123,2016,2.04
19125,2016,2.58
19127,2016,2.62
19129,2016,0.89
