UT,03/2015,8.00
VA,2010,117.00
VA,2011,297.00
VA,2012,208.00
VA,2013,59.00
VA,2014,92.00
VA,03/2015,24.00
VT,2010,22.00
VT,2011,56.00
VT,2012,41.00
VT,2013,14.00
VT,2014,9.00
VT,03/2015,4.00
WA,2010,4.00
WA,2011,2.00
WA,2012,28.00
WA,2013,12.00
WA,2014,13.00
WA,03/2015,7.00
WI,2010,84.00
WI,2011,185.00
WI,2012,121.00
WI,2013,88.00
WI,2014,123.00
WI,03/2015,14.00
WV,2010,48.00
WV,2011,129.00
WV,2012,68.00
WV,2013,15.00
WV,2014,36.00
WV,03/2015,19.00
WY,2010,123.00
WY,2011,100.00
WY,2012,51.00
WY,2013,186.00
WY,2014,94.00
WY,03/2015,44.00
