AK,2012,84.00
AL,2012,219.00
AR,2012,53.00
AZ,2012,86.00
CA,2012,165.00
CO,2012,98.00
CT,2012,194.00
DC,2012,1.00
DE,2012,19.00
FL,2012,57.00
GA,2012,61.00
HI,2012,1.00
IA,2012,542.00
ID,2012,100.00
IL,2012,623.00
IN,2012,237.00
KS,2012,328.00
KY,2012,119.00
LA,2012,68.00
MA,2012,370.00
MD,2012,14.00
ME,2012,266.00
MI,2012,387.00
MN,2012,128.00
MO,2012,138.00
MS,2012,48.00
MT,2012,82.00
NC,2012,66.00
ND,2012,81.00
NE,2012,268.00
NH,2012,230.00
NJ,2012,297.00
NM,2012,92.00
NV,2012,19.00
NY,2012,755.00
OH,2012,239.00
OK,2012,118.00
OR,2012,124.00
PA,2012,451.00
PR,2012,58.00
RI,2012,47.00
SC,2012,40.00
SD,2012,112.00
TN,2012,185.00
TX,2012,557.00
UT,2012,63.00
VA,2012,81.00
VI,2012,0.00
VT,2012,181.00
WA,2012,52.00
WI,2012,379.00
WV,2012,97.00
WY,2012,23.00
