UT,03/2015,2.00
VA,2010,10.00
VA,2011,55.00
VA,2012,16.00
VA,2013,3.00
VA,2014,12.00
VA,03/2015,0.00
VT,2010,1.00
VT,2011,0.00
VT,2012,1.00
VT,2013,0.00
VT,2014,0.00
VT,03/2015,0.00
WA,2010,3.00
WA,2011,3.00
WA,2012,0.00
WA,2013,2.00
WA,2014,4.00
WA,03/2015,2.00
WI,2010,68.00
WI,2011,49.00
WI,2012,3.00
WI,2013,15.00
WI,2014,20.00
WI,03/2015,2.00
WV,2010,5.00
WV,2011,0.00
WV,2012,2.00
WV,2013,0.00
WV,2014,6.00
WV,03/2015,0.00
WY,2010,26.00
WY,2011,9.00
WY,2012,6.00
WY,2013,8.00
WY,2014,16.00
WY,03/2015,6.00
