AK,2015,9.20
AL,2015,0.00
AR,2015,8.50
AZ,2015,9.70
CA,2015,27.20
CO,2015,13.40
CT,2015,25.40
DC,2015,21.90
DE,2015,7.70
FL,2015,19.60
GA,2015,14.50
HI,2015,11.10
IA,2015,4.70
ID,2015,4.90
IL,2015,12.90
IN,2015,12.90
KS,2015,1.30
KY,2015,12.20
LA,2015,2.80
MA,2015,22.40
MD,2015,28.90
ME,2015,17.90
MI,2015,9.40
MN,2015,1.10
MO,2015,5.00
MS,2015,0.40
MT,2015,5.00
NC,2015,7.30
ND,2015,0.80
NE,2015,1.30
NH,2015,15.50
NJ,2015,14.30
NM,2015,6.70
NV,2015,14.30
NY,2015,17.50
OH,2015,18.00
OK,2015,2.50
OR,2015,9.60
PA,2015,11.50
RI,2015,9.40
SC,2015,7.80
SD,2015,0.00
TN,2015,4.60
TX,2015,13.40
UT,2015,10.40
VA,2015,16.10
VT,2015,13.20
WA,2015,14.20
WI,2015,12.90
WV,2015,9.60
WY,2015,5.90
