AK,2012,139.00
AL,2012,6.00
AR,2012,0.00
AZ,2012,0.00
CA,2012,9.00
CO,2012,0.00
CT,2012,4.00
DC,2012,0.00
DE,2012,0.00
FL,2012,44.00
GA,2012,2.00
HI,2012,0.00
IA,2012,0.00
ID,2012,5.00
IL,2012,6.00
IN,2012,16.00
KS,2012,0.00
KY,2012,0.00
LA,2012,11.00
MA,2012,15.00
MD,2012,4.00
ME,2012,46.00
MI,2012,6.00
MN,2012,56.00
MO,2012,3.00
MS,2012,0.00
MT,2012,2.00
NC,2012,1.00
ND,2012,0.00
NE,2012,1.00
NH,2012,8.00
NJ,2012,7.00
NM,2012,1.00
NV,2012,0.00
NY,2012,17.00
OH,2012,3.00
OK,2012,1.00
OR,2012,2.00
PA,2012,8.00
RI,2012,1.00
SC,2012,2.00
SD,2012,0.00
TN,2012,1.00
TX,2012,0.00
UT,2012,0.00
VA,2012,3.00
VT,2012,6.00
WA,2012,16.00
WI,2012,16.00
WV,2012,10.00
WY,2012,0.00
